IBRA - Carteira do Dia 26/08/25
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
TTEN3;3TENTOS;ON      NM;112.455.686;0,070;
ABCB4;ABC BRASIL;PN      N2;73.106.941;0,069;
AERI3;AERIS;ON      NM;35.461.088;0,006;
ALOS3;ALLOS;ON  ED  NM;476.976.044;0,472;
ALPA4;ALPARGATAS;PN      N1;153.041.091;0,062;
ALUP11;ALUPAR;UNT ED  N2;157.537.587;0,200;
ABEV3;AMBEV S/A;ON;4.394.835.131;2,295;
AMBP3;AMBIPAR;ON      NM;369.324.890;0,207;
ANIM3;ANIMA;ON      NM;256.712.285;0,036;
ARML3;ARMAC;ON  EJ  NM;171.598.756;0,029;
ASAI3;ASSAI;ON      NM;1.345.897.506;0,582;
AURE3;AUREN;ON      NM;323.738.747;0,150;
AZZA3;AZZAS 2154;ON      NM;136.643.320;0,197;
B3SA3;B3;ON      NM;5.200.055.464;2,812;
BPAN4;BANCO PAN;PN      N1;285.723.480;0,095;
BRSR6;BANRISUL;PNB     N1;202.536.440;0,099;
BBSE3;BBSEGURIDADE;ON  ED  NM;637.332.335;0,883;
BMOB3;BEMOBI TECH;ON  EJ  NM;79.316.310;0,067;
BLAU3;BLAU;ON      NM;29.680.739;0,016;
SOJA3;BOA SAFRA;ON      NM;46.233.405;0,021;
BRBI11;BR PARTNERS;UNT     N2;47.238.057;0,032;
BBDC3;BRADESCO;ON      N1;1.469.064.981;0,887;
BBDC4;BRADESCO;PN      N1;5.111.682.020;3,601;
BRAP4;BRADESPAR;PN      N1;250.982.988;0,173;
BBAS3;BRASIL;ON      NM;2.842.613.858;2,456;
AGRO3;BRASILAGRO;ON      NM;63.480.488;0,056;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,099;
BRAV3;BRAVA;ON      NM;451.311.960;0,380;
BRFS3;BRF SA;ON      NM;832.617.717;0,713;
BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;2,399;
CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,356;
CAML3;CAMIL;ON      NM;96.218.424;0,019;
BHIA3;CASAS BAHIA;ON      NM;94.965.690;0,013;
CBAV3;CBA;ON      NM;204.441.277;0,027;
CEAB3;CEA MODAS;ON      NM;101.504.341;0,073;
CMIG4;CEMIG;PN      N1;1.858.636.840;0,870;
COGN3;COGNA ON;ON      NM;1.872.454.628;0,240;
CSMG3;COPASA;ON      NM;188.462.398;0,226;
CPLE3;COPEL;ON      N2;1.293.575.090;0,629;
CPLE6;COPEL;PNB     N2;1.671.982.390;0,875;
CSAN3;COSAN;ON      NM;1.160.227.510;0,272;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,318;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,357;
CURY3;CURY S/A;ON      NM;133.117.425;0,192;
CVCB3;CVC BRASIL;ON      NM;450.926.127;0,040;
