IDIV - Carteira do Dia 26/08/25
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;100.771.443;0,430;
BRSR6;BANRISUL;PNB     N1;279.178.545;0,618;
BBSE3;BBSEGURIDADE;ON  ED  NM;538.315.892;3,394;
BRBI11;BR PARTNERS;UNT     N2;65.113.478;0,198;
BBDC3;BRADESCO;ON      N1;1.256.828.742;3,452;
BBDC4;BRADESCO;PN      N1;1.104.974.492;3,541;
BRAP4;BRADESPAR;PN      N1;345.957.821;1,089;
BBAS3;BRASIL;ON      NM;772.169.999;3,035;
AGRO3;BRASILAGRO;ON      NM;87.502.230;0,353;
CXSE3;CAIXA SEGURI;ON      NM;827.046.862;2,231;
CMIG4;CEMIG;PN      N1;2.561.966.278;5,459;
CSMG3;COPASA;ON      NM;259.778.724;1,417;
CPLE3;COPEL;ON      N2;1.783.078.699;3,946;
CPLE6;COPEL;PNB     N2;1.640.705.399;3,907;
CPFE3;CPFL ENERGIA;ON      NM;258.772.677;1,992;
CMIN3;CSNMINERACAO;ON      N2;2.269.581.084;2,238;
CURY3;CURY S/A;ON      NM;183.490.581;1,201;
DIRR3;DIRECIONAL;ON      NM;448.846.218;1,295;
EGIE3;ENGIE BRASIL;ON  ED  NM;351.821.514;2,700;
EVEN3;EVEN;ON      NM;261.586.100;0,377;
FESA4;FERBASA;PN      N1;221.349.857;0,270;
FLRY3;FLEURY;ON      NM;628.539.579;1,748;
GGBR4;GERDAU;PN      N1;994.171.111;3,250;
GOAU4;GERDAU MET;PN      N1;859.945.331;1,576;
GRND3;GRENDENE;ON  ED  NM;369.412.014;0,383;
RANI3;IRANI;ON      NM;146.359.526;0,220;
ISAE4;ISA ENERGIA;PN      N1;545.576.686;2,401;
ITSA4;ITAUSA;PN  EJ  N1;1.943.389.516;4,163;
ITUB3;ITAUUNIBANCO;ON  EJ  N1;610.423.433;3,963;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;495.127.641;3,610;
JHSF3;JHSF PART;ON      NM;403.766.835;0,438;
JSLG3;JSL;ON      NM;87.115.367;0,092;
KEPL3;KEPLER WEBER;ON      NM;239.873.616;0,346;
KLBN11;KLABIN S/A;UNT     N2;748.402.427;2,692;
LAVV3;LAVVI;ON  ED  NM;101.933.703;0,247;
POMO4;MARCOPOLO;PN      N2;918.543.661;1,665;
MRFG3;MARFRIG;ON      NM;327.535.659;1,464;
LEVE3;METAL LEVE;ON      NM;72.870.928;0,391;
ODPV3;ODONTOPREV;ON      NM;347.662.272;0,887;
PETR3;PETROBRAS;ON  EDJ N2;769.884.315;4,989;
PETR4;PETROBRAS;PN  EDJ N2;875.100.400;5,257;
PLPL3;PLANOEPLANO;ON      NM;75.178.202;0,194;
SAPR11;SANEPAR;UNT     N2;277.167.503;1,836;
STBP3;SANTOS BRP;ON      NM;564.519.057;1,571;
CSNA3;SID NACIONAL;ON;1.002.738.684;1,423;
SYNE3;SYN PROP TEC;ON      NM;81.851.776;0,104;
TAEE11;TAESA;UNT EDJ N2;301.276.953;2,002;
TGMA3;TEGMA;ON      NM;44.110.653;0,318;
TIMS3;TIM;ON      NM;870.619.122;3,904;
UNIP6;UNIPAR;PNB;70.024.099;0,851;
VALE3;VALE;ON      NM;365.622.177;3,936;
VLID3;VALID;ON      NM;104.795.670;0,428;
VULC3;VULCABRAS;ON  ED  NM;129.757.101;0,508;
Quantidade Teórica Total;;;30.992.131.652;100,000
Redutor;;;50.831.899,07919996
