IFIX - Carteira do Dia 26/08/25
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
CACR11;CARTESIA FII;CI;4.836.324;0,290;
AFHI11;FII AFHI CRI;CI  ER;4.555.618;0,312;
AJFI11;FII AJ MALLS;CI;31.625.978;0,174;
ALZR11;FII ALIANZA;CI  ER;122.266.250;0,900;
RZAT11;FII ARCTIUM;CI  ER;4.235.042;0,273;
FATN11;FII ATHENA I;CI;4.234.552;0,255;
ARRI11;FII ATRIO;CI;20.726.973;0,102;
AIEC11;FII AUTONOMY;CI;4.824.987;0,164;
BBIG11;FII BBIG;CI;99.120.994;0,506;
BRCR11;FII BC FUND;CI;26.638.202;0,804;
BCIA11;FII BCIA;CI;3.719.038;0,224;
BCRI11;FII BEES CRI;CI;6.257.873;0,294;
BLMG11;FII BLUE LOG;CI;4.268.807;0,100;
BRCO11;FII BRESCO;CI;15.905.133;1,278;
BROF11;FII BROF;CI  ER;11.610.812;0,458;
BTAL11;FII BTG AGRO;CI  ER;5.982.736;0,337;
BTCI11;FII BTG CRI;CI;99.521.172;0,672;
BPML11;FII BTG SHOP;CI  ER;7.441.745;0,428;
BTHF11;FII BTHF;CI;205.846.940;1,233;
BTLG11;FII BTLG;CI  ER;43.249.151;3,166;
CCME11;FII CANUMA;CI;67.797.053;0,431;
CPTS11;FII CAPI SEC;CI;317.828.140;1,710;
ICRI11;FII CI IPCA;CI;3.857.359;0,260;
CLIN11;FII CLAVE IN;CI;4.346.763;0,283;
CPSH11;FII CPSH;CI  ER;79.699.818;0,553;
CVBI11;FII CVBI VBI;CI;11.010.228;0,686;
CYCR11;FII CYRELA;CI;36.549.445;0,232;
DEVA11;FII DEVANT;CI;14.044.908;0,287;
VRTA11;FII FATOR VE;CI;15.592.424;0,870;
GTWR11;FII G TOWERS;CI;12.000.000;0,666;
GZIT11;FII GAZIT;CI  ER;21.841.231;0,691;
GGRC11;FII GGRCOVEP;CI;122.285.100;0,867;
GARE11;FII GUARDIAN;CI;147.458.223;0,987;
HABT11;FII HABIT II;CI;8.126.783;0,473;
HCTR11;FII HECTARE;CI;22.084.202;0,361;
HGBS11;FII HEDGEBS;CI;129.133.010;1,821;
HGCR11;FII HGCR PAX;CI;15.418.106;1,048;
HGLG11;FII HGLG PAX;CI;33.787.575;3,792;
HGPO11;FII HGPO PAX;CI;1.753.057;0,176;
HGRE11;FII HGRE PAX;CI;11.817.767;0,962;
HGRU11;FII HGRU PAX;CI;23.238.024;2,098;
HTMX11;FII HOTEL MX;CI;2.888.094;0,296;
HSAF11;FII HSI CRI;CI;2.526.360;0,144;
HSLG11;FII HSI LOG;CI;12.660.067;0,736;
HSML11;FII HSI MALL;CI;20.808.572;1,216;
HFOF11;FII HTOPFOF3;CI;230.460.000;1,009;
IRDM11;FII IRIDIUM;CI;36.433.827;1,648;
ITRI11;FII ITRI;CI;6.250.000;0,350;
JSAF11;FII JS A FIN;CI;77.523.290;0,428;
JSRE11;FII JS REAL;CI;20.767.328;0,956;
KISU11;FII KILIMA;CI;44.196.050;0,217;
KNRI11;FII KINEA;CI;28.204.047;2,857;
KCRE11;FII KINEA CR;CI;36.000.000;0,228;
KNHF11;FII KINEA HF;CI;19.663.235;1,301;
KNHY11;FII KINEA HY;CI;28.169.507;2,103;
KNIP11;FII KINEA IP;CI;80.078.186;5,104;
KNCR11;FII KINEA RI;CI;76.565.079;5,840;
KNSC11;FII KINEA SC;CI;202.202.385;1,292;
KNUQ11;FII KINEA UN;CI;20.250.299;1,564;
KFOF11;FII KINEAFOF;CI;7.014.565;0,397;
KIVO11;FII KIVO;CI;2.222.736;0,106;
KORE11;FII KORE;CI;9.625.000;0,495;
LIFE11;FII LIFE;CI;37.901.307;0,235;
LVBI11;FII LVBI VBI;CI;16.118.565;1,202;
MANA11;FII MANATI;CI;37.536.140;0,241;
MCCI11;FII MAUA;CI;16.960.024;1,060;
MCRE11;FII MAUA RE;CI  ER;111.598.921;0,700;
MXRF11;FII MAXI REN;CI;437.325.297;3,064;
MFII11;FII MERITO I;CI;5.962.395;0,354;
OUJP11;FII OURI JPP;CI;3.252.384;0,186;
PATL11;FII PATL VBI;CI;4.991.535;0,217;
PMIS11;FII PMIS;CI;14.803.242;0,082;
PMLL11;FII PMLL PAX;CI;13.982.093;1,015;
PORD11;FII POLO CRI;CI;37.283.750;0,217;
PVBI11;FII PVBI VBI;CI;27.130.067;1,483;
RBRL11;FII RBR LOG;CI;6.687.035;0,407;
RBRX11;FII RBR MULT;CI  ER;29.468.659;0,171;
RBRY11;FII RBR PCRI;CI;12.769.512;0,875;
RBRP11;FII RBR PROP;CI;12.179.186;0,447;
RBRF11;FII RBRALPHA;CI;136.807.700;0,659;
RBRR11;FII RBRHGRAD;CI;15.057.201;0,959;
RECR11;FII REC RECE;CI;26.441.650;1,586;
RBFF11;FII RIOB FF;CI;3.749.215;0,131;
RCRB11;FII RIOB RC;CI;3.690.695;0,342;
RBVA11;FII RIOB VA;CI;156.143.050;0,971;
RZAK11;FII RIZA AKN;CI  ER;8.807.885;0,518;
RZTR11;FII RIZA TX;CI;18.851.720;1,247;
RVBI11;FII RVBI VBI;CI;10.276.012;0,464;
SARE11;FII SANT REN;CI;92.343.290;0,309;
TRBL11;FII SDI LOG;CI;7.739.092;0,337;
SPXS11;FII SPX SYN;CI;20.189.040;0,125;
SNCI11;FII SUNO CRI;CI  ER;4.200.000;0,254;
SNEL11;FII SUNO EL;CI  ER;38.359.418;0,238;
SNFF11;FII SUNOFOFI;CI  ER;4.020.635;0,201;
TEPP11;FII TEL PROP;CI;4.221.967;0,249;
TGAR11;FII TG ATIVO;CI;23.567.968;1,473;
TVRI11;FII TIVIO RI;CI;15.919.690;1,072;
TOPP11;FII TOPP;CI;4.528.240;0,226;
TRXF11;FII TRX REAL;CI;30.001.739;2,140;
URPR11;FII URCA REN;CI;11.733.895;0,307;
VGHF11;FII VALOR HE;CI;164.721.683;0,934;
VGIP11;FII VALORAIP;CI;11.787.247;0,696;
VGIR11;FII VALREIII;CI;146.101.287;1,018;
VCJR11;FII VECTIS;CI;14.723.970;0,867;
VGRI11;FII VGRI;CI;35.021.736;0,219;
VIUR11;FII VINCI IU;CI;26.946.220;0,106;
VILG11;FII VINCI LG;CI;14.997.396;0,896;
VINO11;FII VINCI OF;CI;82.826.295;0,299;
VISC11;FII VINCI SC;CI;28.828.640;2,185;
VRTM11;FII VRTM;CI;46.971.245;0,237;
WHGR11;FII WHG REAL;CI;30.912.379;0,196;
XPCI11;FII XP CRED;CI;8.701.552;0,527;
XPLG11;FII XP LOG;CI;31.175.931;2,239;
XPML11;FII XP MALLS;CI  ER;56.720.787;4,116;
XPSF11;FII XP SELEC;CI;43.302.140;0,190;
Quantidade Teórica Total;;;4.997.384.892;100,000
Redutor;;;39.584.153,31321918
