SMLL - Carteira do Dia 26/08/25
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
TTEN3;3TENTOS;ON      NM;112.455.686;0,501;
ABCB4;ABC BRASIL;PN      N2;73.106.941;0,492;
AERI3;AERIS;ON      NM;35.461.088;0,045;
ALOS3;ALLOS;ON  ED  NM;476.976.044;3,391;
ALPA4;ALPARGATAS;PN      N1;153.041.091;0,448;
ALUP11;ALUPAR;UNT ED  N2;157.537.587;1,432;
ANIM3;ANIMA;ON      NM;256.712.285;0,256;
ARML3;ARMAC;ON  EJ  NM;171.598.756;0,208;
ASAI3;ASSAI;ON      NM;1.345.897.506;4,174;
AURE3;AUREN;ON      NM;323.738.747;1,073;
AZZA3;AZZAS 2154;ON      NM;136.643.320;1,414;
BPAN4;BANCO PAN;PN      N1;285.723.480;0,687;
BRSR6;BANRISUL;PNB     N1;202.536.440;0,708;
BMOB3;BEMOBI TECH;ON  EJ  NM;79.316.310;0,481;
BLAU3;BLAU;ON      NM;29.680.739;0,115;
SOJA3;BOA SAFRA;ON      NM;46.233.405;0,148;
BRBI11;BR PARTNERS;UNT     N2;47.238.057;0,227;
BRAP4;BRADESPAR;PN      N1;250.982.988;1,246;
AGRO3;BRASILAGRO;ON      NM;63.480.488;0,405;
BRKM5;BRASKEM;PNA     N1;265.388.400;0,714;
BRAV3;BRAVA;ON      NM;451.311.960;2,727;
CAML3;CAMIL;ON      NM;96.218.424;0,135;
BHIA3;CASAS BAHIA;ON      NM;94.965.690;0,092;
CBAV3;CBA;ON      NM;204.441.277;0,191;
CEAB3;CEA MODAS;ON      NM;101.504.341;0,524;
COGN3;COGNA ON;ON      NM;1.872.454.628;1,720;
CSMG3;COPASA;ON      NM;188.462.398;1,622;
CSAN3;COSAN;ON      NM;1.160.227.510;1,955;
CURY3;CURY S/A;ON      NM;133.117.425;1,374;
CVCB3;CVC BRASIL;ON      NM;450.926.127;0,286;
CYRE3;CYRELA REALT;ON      NM;257.174.951;2,109;
DASA3;DASA;ON      NM;177.124.534;0,068;
DXCO3;DEXCO;ON      NM;301.760.723;0,533;
PNVL3;DIMED;ON      NM;71.516.013;0,223;
DIRR3;DIRECIONAL;ON      NM;325.625.721;1,482;
ECOR3;ECORODOVIAS;ON      NM;329.302.615;0,738;
EVEN3;EVEN;ON      NM;189.773.600;0,431;
EZTC3;EZTEC;ON  ED  NM;95.300.871;0,413;
FESA4;FERBASA;PN      N1;160.583.300;0,309;
FLRY3;FLEURY;ON      NM;455.988.366;2,001;
FRAS3;FRAS-LE;ON      N1;106.939.830;0,760;
GFSA3;GAFISA;ON      NM;10.451.995;0,044;
GOAU4;GERDAU MET;PN      N1;623.866.944;1,804;
GGPS3;GPS;ON      NM;392.414.992;2,035;
GRND3;GRENDENE;ON  ED  NM;267.998.367;0,438;
SBFG3;GRUPO SBF;ON      NM;140.682.629;0,462;
GUAR3;GUARARAPES;ON      NM;81.942.860;0,218;
HBSA3;HIDROVIAS;ON      NM;1.359.441.204;1,543;
HYPE3;HYPERA;ON      NM;360.057.207;2,624;
IGTI11;IGUATEMI S.A;UNT     N1;198.474.750;1,364;
INTB3;INTELBRAS;ON      NM;114.286.318;0,432;
MYPK3;IOCHP-MAXION;ON      NM;131.546.398;0,551;
RANI3;IRANI;ON      NM;106.179.855;0,252;
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;1,196;
JALL3;JALLESMACHAD;ON      NM;96.226.077;0,082;
JHSF3;JHSF PART;ON      NM;292.921.855;0,501;
JSLG3;JSL;ON      NM;63.199.829;0,105;
KEPL3;KEPLER WEBER;ON      NM;174.021.783;0,396;
LAVV3;LAVVI;ON  ED  NM;73.950.129;0,283;
LOGG3;LOG COM PROP;ON      NM;47.768.612;0,313;
LREN3;LOJAS RENNER;ON      NM;1.030.587.204;5,051;
LWSA3;LWSA;ON  ED  NM;388.793.259;0,479;
MDIA3;M.DIASBRANCO;ON  ED  NM;66.385.773;0,610;
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,778;
POMO4;MARCOPOLO;PN      N2;666.378.439;1,906;
MRFG3;MARFRIG;ON      NM;237.618.211;1,675;
CASH3;MELIUZ;ON      NM;87.123.682;0,131;
LEVE3;METAL LEVE;ON      NM;52.865.876;0,448;
MILS3;MILLS;ON  EJ  NM;170.940.549;0,639;
BEEF3;MINERVA;ON  ATZ NM;433.214.256;0,770;
MDNE3;MOURA DUBEUX;ON      NM;51.943.755;0,409;
MOVI3;MOVIDA;ON      NM;121.834.637;0,263;
MRVE3;MRV;ON  ATZ NM;375.507.695;0,881;
MLAS3;MULTILASER;ON      NM;386.245.397;0,113;
MULT3;MULTIPLAN;ON      N2;314.311.970;2,602;
NATU3;NATURA;ON      NM;845.713.747;2,325;
OPCT3;OCEANPACT;ON      NM;126.724.185;0,256;
ODPV3;ODONTOPREV;ON      NM;252.219.521;1,015;
ONCO3;ONCOCLINICAS;ON      NM;573.410.284;0,532;
ORVR3;ORIZON;ON      NM;47.022.111;0,781;
PCAR3;P.ACUCAR-CBD;ON      NM;461.260.303;0,502;
PGMN3;PAGUE MENOS;ON      NM;196.817.622;0,222;
RECV3;PETRORECSA;ON      NM;274.981.010;1,114;
PETZ3;PETZ;ON      NM;295.519.280;0,358;
PLPL3;PLANOEPLANO;ON      NM;54.539.741;0,222;
POSI3;POSITIVO TEC;ON      NM;72.725.303;0,097;
PRNR3;PRINER;ON      NM;55.724.049;0,264;
QUAL3;QUALICORP;ON      NM;278.971.994;0,159;
LJQQ3;QUERO-QUERO;ON      NM;195.546.894;0,145;
RAPT4;RANDON PART;PN      N1;176.650.127;0,362;
RCSL3;RECRUSUL;ON;1.374.716;0,001;
SAPR11;SANEPAR;UNT     N2;201.077.484;2,101;
STBP3;SANTOS BRP;ON      NM;409.543.219;1,798;
SMTO3;SAO MARTINHO;ON      NM;128.130.966;0,673;
SEER3;SER EDUCA;ON      NM;52.255.107;0,141;
SRNA3;SERENA;ON      NM;417.646.827;1,566;
CSNA3;SID NACIONAL;ON;727.459.637;1,629;
SIMH3;SIMPAR;ON      NM;227.030.128;0,324;
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;1,036;
SMFT3;SMART FIT;ON      NM;328.547.988;2,410;
SYNE3;SYN PROP TEC;ON      NM;59.381.237;0,119;
TAEE11;TAESA;UNT EDJ N2;218.568.234;2,291;
TGMA3;TEGMA;ON      NM;32.001.079;0,364;
TEND3;TENDA;ON      NM;120.609.176;0,794;
TUPY3;TUPY;ON      NM;143.716.238;0,659;
UNIP6;UNIPAR;PNB;50.800.579;0,974;
USIM5;USIMINAS;PNA     N1;515.193.199;0,667;
VLID3;VALID;ON      NM;76.026.408;0,490;
VAMO3;VAMOS;ON      NM;485.166.826;0,581;
VIVA3;VIVARA S.A.;ON      NM;123.160.591;1,058;
VVEO3;VIVEO;ON      NM;178.485.735;0,050;
VULC3;VULCABRAS;ON  ED  NM;94.135.247;0,582;
PORT3;WILSON SONS;ON      NM;185.687.654;1,032;
YDUQ3;YDUQS PART;ON      NM;260.249.057;1,050;
Quantidade Teórica Total;;;30.231.273.532;100,000
Redutor;;;151.074.360,99109576
